ID,A1,A2,A3,B1,B2,B3,C1,C2,C3
PaeAG1_00001,27,14,9,10,9,10,5,10,9
PaeAG1_00002,31,15,13,11,9,12,7,12,11
PaeAG1_00003,137,80,54,43,42,49,34,51,47
PaeAG1_00004,29,17,11,8,8,9,4,9,8
PaeAG1_00005,15,8,10,3,3,5,2,3,3
PaeAG1_00006,8,4,4,2,2,3,1,2,2
PaeAG1_00007,2,1,0,1,1,1,0,1,1
PaeAG1_00008,52,25,12,6,5,10,8,15,8
PaeAG1_00009,9,4,2,1,1,2,1,2,1
PaeAG1_00010,1,1,0,1,1,1,0,1,1
PaeAG1_00011,9,5,6,3,3,4,2,3,3
PaeAG1_00012,6,3,5,3,4,3,2,3,3
PaeAG1_00013,2,1,1,1,1,2,0,1,1
PaeAG1_00014,2,1,2,3,2,2,1,2,2
PaeAG1_00015,5,3,2,4,3,4,2,4,4
PaeAG1_00016,5,3,1,1,1,2,1,2,2
PaeAG1_00017,21,12,6,5,6,6,3,5,7
PaeAG1_00018,5,3,2,1,1,1,1,1,1
PaeAG1_00019,41,19,23,21,17,23,12,22,21
PaeAG1_00020,8,5,4,2,2,4,2,3,2
PaeAG1_00021,0,0,0,0,0,0,0,0,0
PaeAG1_00022,4,2,2,2,2,3,1,3,3
PaeAG1_00023,1,1,1,1,1,1,1,2,1
PaeAG1_00024,4,2,2,1,1,2,1,2,2
PaeAG1_00025,1,1,1,1,1,1,1,1,1
PaeAG1_00026,38,21,16,18,18,16,10,24,22
PaeAG1_00027,6,3,2,3,3,3,1,3,3
PaeAG1_00028,1,0,0,1,1,1,0,0,1
PaeAG1_00029,0,0,0,0,0,0,0,0,0
PaeAG1_00030,0,0,0,0,0,0,0,0,0
PaeAG1_00031,0,0,0,0,0,0,0,0,0
PaeAG1_00032,1,1,1,1,1,1,1,1,2
PaeAG1_00033,73,57,34,70,76,57,35,68,69
PaeAG1_00034,2,1,1,1,1,1,0,1,1
PaeAG1_00035,1,1,1,1,0,1,0,1,1
PaeAG1_00036,24,12,5,5,5,5,4,7,6
PaeAG1_00037,4,3,2,1,1,2,1,2,1
PaeAG1_00038,1,0,0,1,1,1,0,1,1
PaeAG1_00039,45,21,29,83,63,76,26,42,52
PaeAG1_00040,298,142,154,411,323,414,109,192,219
PaeAG1_00041,1,1,1,0,0,0,0,0,0
PaeAG1_00042,3,1,1,0,0,1,0,0,0
PaeAG1_00043,4,2,3,1,1,2,1,1,1
PaeAG1_00044,6,3,3,3,3,4,2,3,3
PaeAG1_00045,16,7,6,5,3,7,2,3,4
PaeAG1_00046,16,7,6,5,3,7,2,3,4
PaeAG1_00047,8,3,2,1,1,2,1,1,1
PaeAG1_00048,1,0,1,0,0,1,0,0,0
PaeAG1_00049,1,0,1,0,0,0,0,0,0
PaeAG1_00050,60,31,28,10,8,18,7,8,9
PaeAG1_00051,2,1,1,1,1,1,1,1,1
PaeAG1_00052,1,0,1,0,0,0,0,0,0
PaeAG1_00053,3,2,2,2,2,3,2,3,2
PaeAG1_00054,9,5,3,3,4,4,2,3,4
PaeAG1_00055,2,1,1,1,1,1,0,1,1
PaeAG1_00056,3,2,1,1,2,1,1,1,1
PaeAG1_00057,7,4,1,1,1,1,0,1,1
PaeAG1_00058,31,16,7,5,3,8,2,4,3
PaeAG1_00059,3,2,0,1,1,2,0,1,0
PaeAG1_00060,2,1,0,2,1,2,0,1,0
PaeAG1_00061,0,0,0,1,1,1,0,0,0
PaeAG1_00062,24,12,17,14,13,24,5,9,8
PaeAG1_00063,19,10,14,14,11,21,4,7,8
PaeAG1_00064,2,1,1,2,1,2,1,2,2
PaeAG1_00065,1,0,0,1,1,1,0,1,1
PaeAG1_00066,2,1,1,1,1,1,1,1,1
PaeAG1_00067,4,2,3,2,2,3,1,2,2
PaeAG1_00068,0,0,0,0,0,0,0,0,0
PaeAG1_00069,1,0,0,0,0,0,0,0,0
PaeAG1_00070,0,0,0,0,0,0,0,0,0
PaeAG1_00071,11,5,4,33,21,24,6,15,21
PaeAG1_00072,5,3,3,14,9,11,4,8,10
PaeAG1_00073,3,2,1,3,3,3,2,4,5
PaeAG1_00074,1,1,0,1,1,2,1,2,1
PaeAG1_00075,2,2,1,2,2,2,1,2,2
PaeAG1_00076,3,1,1,1,1,1,1,1,1
PaeAG1_00077,23,15,9,9,8,12,8,17,12
PaeAG1_00078,3,2,1,1,1,2,1,2,1
PaeAG1_00079,506,243,225,114,117,199,75,155,146
PaeAG1_00080,45,21,24,16,14,21,9,17,20
PaeAG1_00081,2,1,0,1,1,1,0,1,1
PaeAG1_00082,26,14,8,9,6,16,5,10,6
PaeAG1_00083,19,12,7,7,7,12,2,7,4
PaeAG1_00084,0,0,0,0,0,0,0,0,0
PaeAG1_00085,17,10,4,6,5,10,1,4,4
PaeAG1_00086,2,1,1,1,1,1,0,1,1
PaeAG1_00087,3,2,1,1,1,2,1,1,1
PaeAG1_00088,27,13,7,10,9,18,3,7,7
PaeAG1_00089,9,5,5,5,4,8,2,4,3
PaeAG1_00090,2,1,0,1,1,1,0,1,1
PaeAG1_00091,4,2,1,1,1,2,1,2,1
PaeAG1_00092,4,2,1,1,1,2,1,1,1
PaeAG1_00093,28,16,11,12,10,19,5,13,14
PaeAG1_00094,5,3,2,1,1,4,1,2,1
PaeAG1_00095,12,6,3,2,1,6,2,6,2
PaeAG1_00096,13,7,4,4,3,9,3,7,3
PaeAG1_00097,18,12,7,15,10,24,8,15,7
PaeAG1_00098,3,2,1,1,1,3,1,2,1
PaeAG1_00099,9,5,3,3,3,8,2,5,3
PaeAG1_00100,98,75,42,107,72,133,36,91,50
PaeAG1_00101,18,9,6,8,6,20,4,8,4
